college,conference
Pepperdine University,West Coast Conference
Baylor University,Big 12 Conference
University of Arizona,Pac-12 Conference
University of Kentucky,Southeastern Conference
University of Connecticut,American Athletic Conference
Michigan State University,Big Ten Conference
Missouri State University,Missouri Valley Conference
Washington State University,Pac-12 Conference
Florida State University,Atlantic Coast Conference
University of Texas at Austin,Big 12 Conference
West Virginia University,Big 12 Conference
Temple University,American Athletic Conference
University of Utah,Pac-12 Conference
Rice University,Conference USA
Wake Forest University,Atlantic Coast Conference
"University of Nevada, Las Vegas",Moutain West Conference
University of Memphis,American Athletic Conference
Oklahoma State University,Big 12 Conference
University of Virginia,Atlantic Coast Conference
University of California,Pac-12 Conference
Indiana University,Big Ten Conference
Villanova University,Big East Conference
University of Illinois at Urbana-Champaign,Big Ten Conference
Arizona State University,Pac-12 Conference
Pennsylvania State University,Big Ten Conference
"University of Nevada, Reno",Moutain West Conference
University of New Mexico,Moutain West Conference
Wichita State University,American Athletic Conference
Vanderbilt University,Southeastern Conference
University of South Carolina,Southeastern Conference
Northeastern University,Colonial Athletic Association
University of North Carolina,Atlantic Coast Conference
University of North Carolina at Charlotte,Conference USA
Louisiana State University,Southeastern Conference
Old Dominion University,Conference USA
Kansas State University,Big 12 Conference
Saint Joseph's University,Atlantic 10 Conference
Georgetown University,Big East Conference
Oakland University,Horizon League Conference
Providence College,Big East Conference
University of Arkansas,Southeastern Conference
New Mexico State University,Western Athletic Conference
University of Pittsburgh,Atlantic Coast Conference
Iowa State University,Big 12 Conference
Marquette University,Big East Conference
Weber State University,Big Sky Conference
Clemson University,Atlantic Coast Conference
University of Washington,Pac-12 Conference
DePaul University,Big East Conference
Stanford University,Pac-12 Conference
"California State University, Fullerton",Big West Conference
Xavier University,Big East Conference
North Carolina State University,Atlantic Coast Conference
Southern Methodist University,American Athletic Conference
University of Colorado,Pac-12 Conference
University of Minnesota,Big Ten Conference
University of Georgia,Southeastern Conference
Murray State University,Ohio Valley Conference
University of Louisville,Atlantic Coast Conference
