,name
0,LeBron James
1,Kobe Bryant
2,Dirk Nowitzki
3,Moses Malone
4,Tracy McGrady
5,Yao Ming
6,Amar'e Stoudemire
7,Kristaps Porzingis
8,Kevin Garnett
9,Monta Ellis
10,Pau Gasol
11,Dwight Howard
12,Giannis Antetokounmpo
13,Peja Stojakovic
14,Dino Radja
15,Tony Parker
16,Al Jefferson
17,Drazen Petrovic
18,Danilo Gallinari
19,Marc Gasol
20,Rashard Lewis
21,Nikola Jokic
22,Josh Smith
23,Andrea Bargnani
24,Brandon Jennings
25,Goran Dragic
26,Lou Williams
27,Dario Saric
28,Al Harrington
29,Mehmet Okur
30,Manu Ginobili
31,Jermaine O'Neal
32,Evan Fournier
33,Zydrunas Ilgauskas
34,Dennis Schroder
35,Eddy Curry
36,Sasha Danilovic
37,Sarunas Marciulionis
38,Goose Ligon
39,J.R. Smith
40,Nikola Pekovic
41,Bojan Bogdanovic
42,Serge Ibaka
43,Luis Scola
44,Arvydas Sabonis
45,Darryl Dawkins
46,Nicolas Batum
47,Bogdan Bogdanovic
48,Andrei Kirilenko
49,Vlade Divac
50,Nene Hilario
51,Nikola Mirotic
52,Jonas Valanciunas
53,Enes Kanter
54,Toni Kukoc
55,Andrew Bynum
56,Hedo Turkoglu
57,Ersan Ilyasova
58,Joe Graboski
59,Juan Carlos Navarro
60,Ricky Rubio
61,Emmanuel Mudiay
62,Clint Capela
63,Stan Miasek
64,Leandro Barbosa
65,Andres Nocioni
66,Jusuf Nurkic
67,Marcin Gortat
68,Darius Miles
69,Andray Blatche
70,Nenad Krstic
71,Rudy Gobert
72,Marco Belinelli
73,C.J. Miles
74,Gerald Green
75,Connie Simmons
76,Gheorghe Muresan
77,Gordan Giricek
78,Milos Teodosic
79,Reggie Harding
80,George Ratkovicz
81,Jose Calderon
82,Rudy Fernandez
83,Martell Webster
84,Boris Diaw
85,Tyson Chandler
86,Travis Outlaw
87,Dorell Wright
88,Beno Udrih
89,Mickael Pietrus
90,Mirza Teletovic
91,Carlos Delfino
92,Jorge Garbajosa
93,Omri Casspi
94,Vladimir Radmanovic
95,Tiago Splitter
96,Yi Jianlian
97,Al Cervi
